port_index,polarization,x_m,y_m,z_m
94,pol2,0.0,-0.009196087668711656,-0.04598043834355828
95,pol2,0.0,-0.009196087668711656,-0.06437261368098159
96,pol2,0.0,0.009196087668711656,0.06437261368098159
97,pol2,0.0,0.009196087668711656,0.04598043834355828
98,pol2,0.0,0.009196087668711656,0.02758826300613497
99,pol2,0.0,0.009196087668711656,0.009196087668711656
100,pol2,0.0,0.009196087668711656,-0.009196087668711656
101,pol2,0.0,0.009196087668711656,-0.02758826300613497
102,pol2,0.0,0.009196087668711656,-0.04598043834355828
103,pol2,0.0,0.009196087668711656,-0.06437261368098159
104,pol2,0.0,0.02758826300613497,0.06437261368098159
105,pol2,0.0,0.02758826300613497,0.04598043834355828
106,pol2,0.0,0.02758826300613497,0.02758826300613497
107,pol2,0.0,0.02758826300613497,0.009196087668711656
108,pol2,0.0,0.02758826300613497,-0.009196087668711656
109,pol2,0.0,0.02758826300613497,-0.02758826300613497
110,pol2,0.0,0.02758826300613497,-0.04598043834355828
111,pol2,0.0,0.02758826300613497,-0.06437261368098159
112,pol2,0.0,0.04598043834355828,0.06437261368098159
113,pol2,0.0,0.04598043834355828,0.04598043834355828
114,pol2,0.0,0.04598043834355828,0.02758826300613497
115,pol2,0.0,0.04598043834355828,0.009196087668711656
116,pol2,0.0,0.04598043834355828,-0.009196087668711656
117,pol2,0.0,0.04598043834355828,-0.02758826300613497
118,pol2,0.0,0.04598043834355828,-0.04598043834355828
119,pol2,0.0,0.04598043834355828,-0.06437261368098159
120,pol2,0.0,0.06437261368098159,0.06437261368098159
121,pol2,0.0,0.06437261368098159,0.04598043834355828
122,pol2,0.0,0.06437261368098159,0.02758826300613497
123,pol2,0.0,0.06437261368098159,0.009196087668711656
124,pol2,0.0,0.06437261368098159,-0.009196087668711656
125,pol2,0.0,0.06437261368098159,-0.02758826300613497
126,pol2,0.0,0.06437261368098159,-0.04598043834355828
127,pol2,0.0,0.06437261368098159,-0.06437261368098159
