txrx,freq_mhz,occ_bw_khz,itu_class,satellite_name,lat,lon,ground_elev_m,height_agl_m,azimuth_deg,elev_angle_deg,ant_gain_dbi,hpbw_deg,ant_manufacturer,ant_model,station_loc,call_sign,auth_number,licensee_name,subservice,auth_status,in_service_date,province
RX,8230.0,101850.0,TW,RADARSAT-3C,68.31944444,-133.54888889,70,11.8,180.0,45.0,58.4,0.19,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT  X0E 0T0",VF943,011013748-001,Natural Resources Canada,906,G,2023-10-01,NT
RX,8230.0,100000.0,TW,RADARSAT-3C,45.58472222,-75.80833333,275,11.8,180.0,45.0,58.4,0.19,,Earth Station antenna,"Cantley, QC (75 Chemin McClelland)",VF941,011013740-001,Natural Resources Canada,906,G,2023-10-01,QC
RX,8230.0,60000.0,TW,RADARSAT-2C,45.58472222,-75.80833333,275,11.8,,,58.4,0.19,,Earth Station antenna,"Cantley, QC (75 ch McClelland)",XJ983,011013742-001,Natural Resources Canada,906,G,2023-10-01,QC
RX,8230.0,60000.0,TW,RADARSAT-2C,53.2125,-105.93111111,528,15.0,,,56.0,360.0,,Earth Station antenna,PRINCE ALBERT SK,VF757,011013776-002,Natural Resources Canada,906,G,2023-10-01,SK
RX,8230.0,60000.0,TC,RADARSAT-2C,68.31833333,-133.54361111,73,3.0,,,59.2,360.0,* Other Manufacturer (not listed) * - * Autre fabricant (non inclus) *,ISOTROPIC_59.2_D,INUVIK NWT,VB339,011013724-001,Natural Resources Canada,906,G,2023-10-01,NT
RX,8212.5,15000.0,TM,,53.5475,-114.10833333,748,10.0,0.0,25.0,40.0,360.0,* Other Manufacturer (not listed) * - * Autre fabricant (non inclus) *,ISOTROPIC_40_D,"STONY PLAIN, AB.",VC743,011013179-001,Environment and Climate Change Canada,906,-4,2023-10-01,AB
RX,8206.0,356000.0,TW,SWOT,68.31833333,-133.54361111,66,10.0,0.0,,57.6,0.23,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT, X0E 0T0",XO284,011013750-001,Natural Resources Canada,906,G,2023-10-01,NT
RX,8205.0,360000.0,TW,ENMAP-2,68.31823889,-133.54384167,94,15.0,,,58.0,0.17,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT X0E 0T0",VF600,011013754-001,Natural Resources Canada,906,G,2023-10-01,NT
RX,8205.0,356000.0,TW,SWOT,68.31833333,-133.54361111,66,10.0,0.0,,57.6,0.23,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT, X0E 0T0",XO284,011013750-001,Natural Resources Canada,906,G,2023-10-01,NT
RX,8200.5,320000.0,TW,LDCM,53.2125,-105.92916667,478,11.8,180.0,0.0,58.7,0.19,,Earth Station antenna,Prince Albert Satellite Station,,011123139-001,Natural Resources Canada,906,G,2026-04-10,SK
RX,8200.5,320000.0,TW,LDCM,53.21194444,-105.92666667,475,11.8,180.0,0.0,58.7,0.19,,Earth Station antenna,Prince Albert Satellite Station,,011123025-001,Natural Resources Canada,906,G,2026-04-10,SK
RX,8200.5,320000.0,TW,LANDSAT-9,53.21194444,-105.92666667,475,11.8,,,58.7,0.19,,Earth Station antenna,Prince Albert Satellite Station,,011061571-001,Natural Resources Canada,906,G,2024-10-18,SK
RX,8200.5,320000.0,TW,LANDSAT-9,53.2125,-105.92916667,478,11.8,180.0,45.0,58.7,0.19,,Earth Station antenna,Prince Albert Satellite Station,VF732,011013752-001,Natural Resources Canada,906,G,2023-10-01,SK
RX,8200.0,60000.0,TW,USASAT-30E,49.25463889,-55.06430556,67,5.4,,,54.9,0.44,,Earth Station antenna,Lewisporte (Premier Dr) NL,,011064214-001,Planet Labs Geomatics Corp.,906,G,2024-10-31,NL
RX,8200.0,60000.0,TW,USASAT-30E,68.3261,-133.607,34,8.7,180.0,47.5,54.9,0.44,,Earth Station antenna,"Inuvik, NT Lot 1013 Block Q107B/7 LTO 3030",,011064223-001,Planet Labs Geomatics Corp.,906,G,2024-10-31,NT
RX,8200.0,60000.0,TW,USASAT-30E,68.32613889,-133.60778889,34,8.7,180.0,47.5,54.9,0.44,,Earth Station antenna,"Inuvik, NT Lot 1013 Block Q107B/7 LTO 3030",,011064219-001,Planet Labs Geomatics Corp.,906,G,2024-10-31,NT
RX,8200.0,60000.0,TC,USASAT-30F,68.32535278,-133.60961667,35,3.9,,,48.0,0.59,,Earth Station antenna,"Inuvik, NT (Lot1019 Plan Q107B/7 LTO 3030)",VF827,011014966-002,Canadian Satellite Ground Station – Inuvik Inc. (CSGSI),906,G,2023-10-01,NT
RX,8190.0,78000.0,TW,GHGSAT-CX,68.32535278,-133.61285278,41,4.5,180.0,45.0,35.4,2.35,,Earth Station antenna,"Inuvik, NT (Lot1019 Plan Q107B/7 LTO 3030)",,011100649-001,Canadian Satellite Ground Station – Inuvik Inc. (CSGSI),906,G,2025-09-22,NT
RX,8190.0,50000.0,TW,TERRASAR,53.29618333,-60.32978333,11,13.5,0.0,5.0,51.0,0.38,,Earth Station antenna,Happy Valley-Goose Bay (219 Hamilton River Rd) NL,VF777,011020728-001,C-CORE Inc. (LOOK North),906,G,2023-10-01,NL
RX,8190.0,50000.0,TW,GHGSAT-CX,68.31920028,-133.55016139,93,2.5,,,47.3,0.76,,Earth Station antenna,"Inuvik, NT #10 Satellite Road ISSF",VF775,011020724-001,C-CORE Inc. (LOOK North),906,G,2023-10-01,NT
RX,8190.0,78000.0,TW,GHGSAT-D,68.32535278,-133.61285278,5,4.5,,,35.4,2.35,,Earth Station antenna,"Inuvik, NT (Lot1019 Plan Q107B/7 LTO 3030)",VF826,011014964-002,Canadian Satellite Ground Station – Inuvik Inc. (CSGSI),906,G,2023-10-01,NT
RX,8183.0,316000.0,TW,VHR2020,68.32438,-133.55243306,66,6.7,180.0,0.0,54.03,0.252,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT, X0E 0T0",,011112463-001,SSC Space Canada Corporation,906,G,2025-12-14,NT
RX,8183.0,316000.0,TW,VHR2020,68.31972222,-133.55805556,55,5.0,,,41.9,1.27,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NT",VF756,011016941-001,SSC Space Canada Corporation,906,G,2023-10-01,NT
RX,8183.0,316000.0,TR,VHR2020,68.31972222,-133.55416667,64,10.0,,,47.2,0.7,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NT",VF755,011016939-001,SSC Space Canada Corporation,906,G,2023-10-01,NT
RX,8183.0,316000.0,ET,VHR2020,68.31972222,-133.55805556,55,5.0,180.0,45.0,54.2,0.32,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT, X0E",XO208,011015040-001,SSC Space Canada Corporation,906,G,2023-10-01,NT
RX,8180.0,288000.0,TW,MICROCARB,68.3197,-133.5581,94,7.45,180.0,45.0,54.2,0.32,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT, X0E 0T0",,011094372-001,Natural Resources Canada,906,G,2025-07-25,NT
RX,8180.0,288000.0,TW,MICROCARB,68.3183,-133.544,96,12.9,,,59.2,0.2,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT, X0E 0T0",,011094370-001,Natural Resources Canada,906,G,2025-07-25,NT
RX,8180.0,288000.0,TW,MICROCARB,68.31826,-133.54899,91,12.22,,,59.08,0.18,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT, X0E 0T0",,011094366-001,Natural Resources Canada,906,G,2025-07-25,NT
RX,8180.0,288000.0,TW,MICROCARB,68.31970833,-133.55416111,105,12.9,,,59.2,0.2,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT, X0E 0T0",,011094363-001,Natural Resources Canada,906,G,2025-07-25,NT
RX,8180.0,288000.0,TW,MICROCARB,68.31833333,-133.54361111,99,10.0,,,59.2,0.2,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT, X0E 0T0",,011092189-001,Natural Resources Canada,906,G,2025-07-25,NT
RX,8180.0,94500.0,TD,USASAT-30F,68.325825,-133.60711667,37,4.0,,,34.0,2.71,,Earth Station antenna,"Inuvik, NT (Lot1019 Plan Q107B/7 LTO 3030)",,011064271-002,Canadian Satellite Ground Station – Inuvik Inc. (CSGSI),906,G,2024-10-14,NT
RX,8180.0,100000.0,TW,USASAT-30F,68.3261,-133.607,34,8.7,,,54.9,0.44,,Earth Station antenna,"Inuvik, NT Lot 1013 Block Q107B/7 LTO 3030",,011044135-001,Planet Labs Geomatics Corp.,906,G,2024-10-01,NT
RX,8180.0,100000.0,TW,USASAT-30F,68.32613889,-133.60778889,34,8.7,,,54.9,0.44,,Earth Station antenna,"Inuvik, NT Lot 1013 Block Q107B/7 LTO 3030",,011044127-001,Planet Labs Geomatics Corp.,906,G,2024-10-01,NT
RX,8180.0,100000.0,TW,USASAT-30F,49.25463889,-55.06430556,67,5.4,,,54.9,0.27,,Earth Station antenna,Lewisporte (Premier Dr) NL,,011044144-001,Planet Labs Geomatics Corp.,906,G,2024-10-01,NL
RX,8180.0,100000.0,TC,USASAT-30F,68.325495,-133.60715389,34,2.72,,,49.52,0.55,,Earth Station antenna,"Inuvik, NT Lot 1013 Block Q107B/7 LTO 3030",VF839,011016709-001,Planet Labs Geomatics Corp.,906,G,2023-10-01,NT
RX,8180.0,100000.0,TC,USASAT-30F,68.32550389,-133.608605,34,2.72,,,49.52,0.55,,Earth Station antenna,"Inuvik, NT Lot 1013 Block Q107B/7 LTO 3030",VF830,011016705-001,Planet Labs Geomatics Corp.,906,G,2023-10-01,NT
RX,8180.0,100000.0,TC,USASAT-30F,68.32582194,-133.607865,34,2.72,,,49.52,0.55,,Earth Station antenna,"Inuvik, NT Lot 1013 Block Q107B/7 LTO 3030",VF785,011016698-001,Planet Labs Geomatics Corp.,906,G,2023-10-01,NT
RX,8180.0,100000.0,TC,USASAT-30F,68.32583611,-133.609325,34,2.72,180.0,47.5,49.52,0.55,,Earth Station antenna,"Inuvik, NT Lot 1013 Block Q107B/7 LTO 3030",VF854,011014982-003,Planet Labs Geomatics Corp.,906,G,2023-10-01,NT
RX,8180.0,310000.0,TW,ASNARO,68.31783611,-133.53822222,70,9.9,,,59.2,0.2,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT  X0E 0T0",VF932,011013746-001,Natural Resources Canada,906,G,2023-10-01,NT
RX,8175.5,80000.0,TW,VGT-CC,68.31777778,-133.53833333,107,10.0,180.0,45.0,47.2,0.72,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT, X0E 0T0",,011028193-001,SSC Space Canada Corporation,906,G,2024-04-01,NT
RX,8175.0,80000.0,TW,GJP,68.319225,-133.55016139,93,2.0,180.0,47.5,47.3,0.76,,Earth Station antenna,"Inuvik, NT #10 Satellite Road ISSF",,011073842-001,C-CORE Inc. (LOOK North),906,G,2025-01-14,NT
RX,8175.0,80000.0,TW,GJP,53.2962,-60.32932222,11,10.0,180.0,47.5,51.4,0.38,,Earth Station antenna,Happy Valley – Goose Bay (219 Hamilton River Road) NL,,011073847-001,C-CORE Inc. (LOOK North),906,G,2025-01-14,NL
RX,8170.0,270000.0,TC,BIOMASS,68.31777778,-133.53833333,67,10.0,180.0,45.0,59.2,0.2,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NWT, X0E 0T0",,011063011-001,SSC Space Canada Corporation,906,G,2024-12-01,NT
RX,8160.0,15000.0,TM,EOS PM,48.94583333,-54.57166667,150,12.0,,,30.0,2.0,"Andrew, Div of CommScope",PL8-44C_30,GANDER NL (GANDER AIRPORT),VA499,011013183-001,Environment and Climate Change Canada,906,-4,2023-10-01,NL
RX,8160.0,15000.0,TM,EOS PM,53.5475,-114.10833333,748,10.0,,,40.0,360.0,* Other Manufacturer (not listed) * - * Autre fabricant (non inclus) *,ISOTROPIC_40_D,"STONY PLAIN, AB.",VC743,011013181-001,Environment and Climate Change Canada,906,-4,2023-10-01,AB
RX,8160.0,15000.0,TM,EOS PM,53.53638889,-113.41666667,651,10.0,,,40.0,360.0,* Other Manufacturer (not listed) * - * Autre fabricant (non inclus) *,ISOTROPIC_40_D,"EDMONTON,AB.(TWIN ATRIA)",VC742,011013175-001,Environment and Climate Change Canada,906,-4,2023-10-01,AB
RX,8150.0,87500.0,TC,USASAT-30F,68.325495,-133.60715389,34,2.72,,,49.52,0.55,,Earth Station antenna,"Inuvik, NT Lot 1013 Block Q107B/7 LTO 3030",VF839,011016709-001,Planet Labs Geomatics Corp.,906,G,2023-10-01,NT
RX,8150.0,87500.0,TC,USASAT-30F,68.32550389,-133.608605,34,2.72,,,49.52,0.55,,Earth Station antenna,"Inuvik, NT Lot 1013 Block Q107B/7 LTO 3030",VF830,011016705-001,Planet Labs Geomatics Corp.,906,G,2023-10-01,NT
RX,8150.0,87500.0,TC,USASAT-30F,68.32582194,-133.607865,34,2.72,,,49.52,0.55,,Earth Station antenna,"Inuvik, NT Lot 1013 Block Q107B/7 LTO 3030",VF785,011016698-001,Planet Labs Geomatics Corp.,906,G,2023-10-01,NT
RX,8150.0,233000.0,TW,SENTINEL-5P,68.31833333,-133.54416667,64,9.0,,,59.2,0.17,,Earth Station antenna,"ISSF, #10 Satellite Road, Inuvik, NT",VF751,011016704-001,Natural Resources Canada,906,G,2023-10-01,NT
RX,8150.0,87500.0,TC,USASAT-30F,68.32583611,-133.609325,34,2.72,180.0,47.5,49.52,0.55,,Earth Station antenna,"Inuvik, NT Lot 1013 Block Q107B/7 LTO 3030",VF854,011014982-003,Planet Labs Geomatics Corp.,906,G,2023-10-01,NT
RX,8150.0,310000.0,TC,SENTINEL-1,68.32535278,-133.61285278,31,10.7,180.0,46.0,59.8,0.2,,Earth Station antenna,"Inuvik, NT (Lot1019 Plan Q107B/7 LTO 3030)",XO221,011014968-001,Canadian Satellite Ground Station – Inuvik Inc. (CSGSI),906,G,2023-10-01,NT
RX,8150.0,225000.0,TW,TERRASAR,53.29618333,-60.32978333,11,10.0,180.0,47.5,51.4,0.5,,Earth Station antenna,Happy Valley-Goose Bay (219 Hamilton River Rd) NL,VG977,011015018-001,C-CORE Inc. (LOOK North),906,G,2023-10-01,NL
