time_s,aggregate_nominal_interference_w,aggregate_safe_interference_w,aggregate_allowance_w,budget_sum_w,local_violation_count,network_nominal_sum_se_bps_hz,network_safe_sum_se_bps_hz,rate_retention_fraction,minimum_pol_scale,median_pol_scale
203.0,6.527471223724037e-10,4.510685102645419e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9041741487821,0.9915308300115895,0.008312824014834743,0.008312827508368066
204.0,6.412434342317052e-10,4.510685102645401e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9045142547478,0.9915314534594507,0.008387057176807017,0.008387060701537444
205.0,6.299546198448233e-10,4.510685102645413e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9048551635136,0.9915320783789239,0.008461871711162416,0.008461875267334272
206.0,6.18876343020163e-10,4.510685102645429e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9051944329188,0.9915327002932869,0.00853727219876292,0.008537275786622459
207.0,6.080043589169562e-10,4.510685102645422e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9055404157164,0.9915333345139619,0.00861326329127517,0.008613266911070595
208.0,5.973345122710545e-10,4.510685102645458e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9058923385822,0.9915339796233694,0.008689849711725076,0.00868985336370658
209.0,5.86862735640093e-10,4.510685102645476e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.906249871037,0.9915346350157078,0.008767036255053273,0.008767039939473063
210.0,5.765850476739513e-10,4.5106851026454105e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9066082534631,0.991535291966128,0.008844827788632631,0.008844831505744957
211.0,5.664975514054355e-10,4.510685102645438e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9069559499873,0.9915359293282332,0.008923229252786744,0.008923233002847938
212.0,5.565964325625541e-10,4.5106851026454515e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9073233155785,0.9915366027456832,0.009002245661304456,0.009002249444572952
213.0,5.468779579062824e-10,4.510685102645408e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9076812767588,0.991537258923918,0.00908188210192287,0.009081885918659242
214.0,5.373384735892628e-10,4.510685102645467e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.908049717655,0.9915379343125081,0.009162143736816765,0.009162147587283755
215.0,5.279744035390588e-10,4.510685102645394e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9084185297764,0.991538610381591,0.009243035803068865,0.009243039687531415
216.0,5.187822478677983e-10,4.510685102645402e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9087973056058,0.9915393047151355,0.009324563613105267,0.009324567531830558
217.0,5.097585812987295e-10,4.5106851026454074e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9091924838419,0.9915400291159133,0.009406732555181015,0.009406736508438488
218.0,5.009000516262762e-10,4.510685102645418e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9095712295432,0.99154072339423,0.009489548093772199,0.009489552081833587
219.0,4.922033781941353e-10,4.510685102645442e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.909947419276,0.9915414129872039,0.00957301577001022,0.009573019793149593
220.0,4.836653503984492e-10,4.510685102645424e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9103334548116,0.9915421206285077,0.009657141202099694,0.00965714526059348
221.0,4.752828262195634e-10,4.510685102645475e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9107163812198,0.9915428225704735,0.009741930085683477,0.009741934179810494
222.0,4.670527307736798e-10,4.5106851026454433e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9111086210866,0.9915435415849297,0.009827388194238736,0.009827392324280232
223.0,4.5897205489124345e-10,4.5106851026454774e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9114993654821,0.9915442578580393,0.009913521379438666,0.00991352554567835
224.0,4.5103785371994765e-10,4.510685102645414e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9119066862088,0.991545004517203,0.010000335571498478,0.010000339774222548
225.0,4.432472453527044e-10,4.510685102645412e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9123028619845,0.9915457307465694,0.010087836779500578,0.010087841018997758
226.0,4.3559740947789406e-10,4.510685102645408e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9127043504432,0.991546466714609,0.010176031091727825,0.010176035368289395
227.0,4.280855860563856e-10,4.5106851026454244e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.913109855929,0.9915472100462565,0.010264924675953774,0.010264928989873611
228.0,4.207090740221558e-10,4.5106851026454736e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9135146329344,0.9915479520425274,0.010354523779721661,0.010354528131296267
229.0,4.134652300060171e-10,4.5106851026454497e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9139269824769,0.9915487079200076,0.010444834730617046,0.010444839120145577
230.0,4.0635146708216473e-10,4.510685102645409e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9143425894599,0.9915494697686982,0.010535863936537168,0.010535868364321481
231.0,3.993652535440277e-10,4.510685102645445e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9147774100002,0.9915502668377388,0.01062761788587033,0.010627622352215
232.0,3.9250411169657183e-10,4.510685102645448e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.915199750492,0.9915510410296169,0.010720103147743831,0.0107201076529562
233.0,3.8576561667578423e-10,4.510685102645433e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.915625259576,0.9915518210298376,0.010813326372203402,0.010813330916593606
234.0,3.791473952910351e-10,4.510685102645455e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9160501374096,0.9915525998729139,0.010907294290372403,0.010907298874253405
235.0,3.726471248896001e-10,4.510685102645483e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9164831462014,0.9915533936208405,0.011002013714597358,0.011002018338284984
236.0,3.6626253224343385e-10,4.510685102645431e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9169157142449,0.9915541865608319,0.011097491538575378,0.011097496202388354
237.0,3.599913924591776e-10,4.510685102645429e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9173659635871,0.9915550119123921,0.011193734737444071,0.01119373944170405
238.0,3.5383152791009856e-10,4.510685102645439e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9178065260105,0.9915558195068723,0.011290750367846809,0.011290755112878411
239.0,3.4778080718899063e-10,4.5106851026454534e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9182581281453,0.991556647338235,0.01138854556798382,0.011388550354114669
240.0,3.4183714408357087e-10,4.5106851026454433e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9187037475106,0.9915574642025895,0.011487127557619707,0.011487132385180454
241.0,3.359984965720877e-10,4.5106851026454156e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.919159099057,0.9915582989069943,0.011586503638077457,0.011586508507401828
242.0,3.302628658405859e-10,4.5106851026454257e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9196148671839,0.9915591343750325,0.011686681192189801,0.011686686103614622
243.0,3.246282953204263e-10,4.510685102645422e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9200771332881,0.9915599817545054,0.011787667684224156,0.011787672638089388
244.0,3.190928697466977e-10,4.510685102645448e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9205571992486,0.9915608617628747,0.01188947065976314,0.011889475656411918
245.0,3.136547142350531e-10,4.510685102645472e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9210228225846,0.9915617152964855,0.011992097745578396,0.011992102785357058
246.0,3.0831199338028646e-10,4.510685102645434e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9214964641887,0.9915625835283745,0.01209555664943018,0.012095561732688307
247.0,3.030629103723663e-10,4.510685102645442e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9219733953174,0.9915634577902872,0.012199855159863772,0.012199860286954215
248.0,2.979057061326534e-10,4.510685102645438e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9224486667827,0.9915643290098727,0.012305001145944783,0.0123050063172237
249.0,2.928386584683988e-10,4.5106851026454465e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9229434619822,0.9915652360183934,0.012411002556961002,0.012411007772787891
250.0,2.87860081245618e-10,4.5106851026454364e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9234283496324,0.9915661248653969,0.012517867422081453,0.01251787268281919
251.0,2.8301971488857535e-10,4.510685102645428e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9239166796838,0.9915670200226617,0.0126244575062245,0.012624462811757602
252.0,2.782816025892842e-10,4.510685102645442e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9244046962052,0.9915679146051954,0.012731477930043875,0.0127314832805532
253.0,2.7362661070024097e-10,4.51068510264544e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9248939026311,0.9915688113689415,0.012839316475200273,0.012839321871029642
254.0,2.690531905415215e-10,4.510685102645453e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9253890496842,0.9915697190224447,0.012947979292696855,0.012947984734192673
255.0,2.6455982563277234e-10,4.510685102645444e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9258946240577,0.9915706457902571,0.013057472551573118,0.01305747803908439
256.0,2.60145030969602e-10,4.5106851026454295e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9264056729783,0.9915715825934555,0.013167802436808934,0.013167807970687253
257.0,2.558073523150937e-10,4.5106851026454446e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9269194354467,0.9915725243708555,0.013278975147169733,0.013278980727769311
258.0,2.5154536550873976e-10,4.5106851026454345e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9274320211425,0.9915734639911149,0.013390996892925708,0.013391002520603355
259.0,2.4735767579064905e-10,4.510685102645421e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9279438780785,0.9915744022754854,0.013503873893485606,0.013503879568600748
260.0,2.432429171394397e-10,4.510685102645451e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9284658732522,0.9915753591442481,0.013617612374979568,0.013617618097894253
261.0,2.3919975162731587e-10,4.510685102645442e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9289993337054,0.9915763370300017,0.013732218567686952,0.013732224338765838
262.0,2.352268687874759e-10,4.510685102645439e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.929522208979,0.9915772955120745,0.013847698703429383,0.013847704523039756
263.0,2.3132298499787006e-10,4.510685102645461e-14,4.5106851026454433e-14,4.5106851026454433e-14,0,545.5243122823117,540.9300584470086,0.9915782784894002,0.013964059012807931,0.013964064881319689
